Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C69        1206                  2979mil       2360mil       2979mil       2360mil       2924mil       2360mil  B        180.00 10uF/16V       
C68        1206              2968.504mil   2905.512mil   2968.504mil   2905.512mil   3023.504mil   2905.512mil  B        360.00 10uF/16V       
R51        0805              2643.724mil   2786.738mil   2643.724mil   2786.738mil   2643.724mil   2824.139mil  B        270.00 10K,1%         
R50        0805                  2787mil       2317mil       2787mil       2317mil       2787mil   2354.402mil  T        270.00 10K,1%         
R16        0805              2959.725mil   2632.638mil   2959.725mil   2632.638mil   2997.126mil   2632.638mil  B        180.00 100K,1%        
FB1        0805              2811.024mil   2783.465mil   2811.024mil   2783.465mil   2811.024mil   2820.866mil  B        270.00 220 ohm/100MHZ 
C51        0805              2511.925mil   2788.637mil   2511.925mil   2788.637mil   2511.925mil   2826.039mil  B        270.00 100nf/50V      
C50        0805              2511.925mil   2623.637mil   2511.925mil   2623.637mil   2511.925mil   2586.236mil  B         90.00 100nf/50V      
C47        0805              2959.725mil   2462.638mil   2959.725mil   2462.638mil   2922.323mil   2462.638mil  B        360.00 100nf/50V      
C46        0805              2959.725mil   2547.638mil   2959.725mil   2547.638mil   2922.323mil   2547.638mil  B        360.00 100nf/50V      
C43        0805              2959.725mil   2807.638mil   2959.725mil   2807.638mil   2922.323mil   2807.638mil  B        360.00 100nf/50V      
C42        0805              2959.725mil   2722.638mil   2959.725mil   2722.638mil   2997.126mil   2722.638mil  B        180.00 100nf/50V      
R1         0805                  3910mil       1110mil       3910mil       1110mil   3947.402mil       1110mil  T        180.00 0R,1%          
R9         0805                  3920mil        738mil       3920mil        738mil   3957.402mil        738mil  T        180.00 0R,1%          
TVS3       SOT233            4325.866mil   2635.929mil   4276.654mil   2673.331mil   4276.654mil   2673.331mil  T        360.00 Wurth 824022   
TVS4       SOT233            4325.866mil   2781.598mil   4276.653mil       2819mil   4276.653mil       2819mil  T        360.00 Wurth 824022,DNI
TVS1       SOT233            4325.866mil    2490.26mil   4276.654mil   2527.661mil   4276.654mil   2527.661mil  T        360.00 Wurth 824022   
TVS2       SOT233            4325.866mil   2348.528mil   4276.654mil   2385.929mil   4276.654mil   2385.929mil  T        360.00 Wurth 824022   
C115       0805               3342.52mil   2854.331mil    3342.52mil   2854.331mil    3342.52mil   2816.929mil  T         90.00 100nf/50V      
C40        0805               3342.52mil   2681.102mil    3342.52mil   2681.102mil    3342.52mil   2643.701mil  T         90.00 22pf/50V       
